transaction_id,date,customer_id,customer_segment,product_category,quantity,unit_price,discount,discounted_price,total_amount,payment_method,satisfaction_score
1,2023-06-01 01:00:00,365,Regular,Books,3,21.5,0.0,21.5,64.5,Credit Card,4.25
2,2023-06-01 01:00:00,300,Regular,Home & Garden,2,56.6,0.2,45.28,90.56,Cash,4.79
3,2023-06-01 02:00:00,7,Regular,Books,1,40.22,0.0,40.22,40.22,Credit Card,4.35
4,2023-06-01 04:00:00,761,Regular,Clothing,2,58.75,0.0,58.75,117.5,Cash,4.34
5,2023-06-01 06:00:00,428,Premium,Books,2,24.42,0.0,24.42,48.84,Credit Card,3.22
6,2023-06-01 07:00:00,117,Regular,Books,1,26.72,0.0,26.72,26.72,Cash,5.0
7,2023-06-01 07:00:00,580,Regular,Sports & Outdoors,1,113.51,0.0,113.51,113.51,Credit Card,4.76
8,2023-06-01 09:00:00,507,New,Home & Garden,1,172.41,0.1,155.16,155.16,Debit Card,4.16
9,2023-06-01 11:00:00,546,Regular,Clothing,3,73.34,0.0,73.34,242.02200000000002,Credit Card,3.53
10,2023-06-01 11:00:00,706,Premium,Electronics,1,139.85,0.0,139.85,153.835,Credit Card,4.3
11,2023-06-01 13:00:00,325,Regular,Books,3,27.8,0.0,27.8,91.74000000000001,Credit Card,3.45
12,2023-06-01 15:00:00,55,Premium,Electronics,1,753.16,0.0,753.16,828.476,Credit Card,3.93
13,2023-06-01 16:00:00,778,Regular,Home & Garden,1,111.33,0.0,111.33,122.46300000000001,Credit Card,3.98
14,2023-06-01 16:00:00,992,New,Books,2,29.12,0.0,29.12,64.06400000000001,Debit Card,3.89
15,2023-06-01 18:00:00,42,New,Electronics,1,689.66,0.0,689.66,758.626,Credit Card,3.48
16,2023-06-01 18:00:00,297,Regular,Sports & Outdoors,1,72.73,0.3,50.91,56.001,Digital Wallet,4.48
17,2023-06-01 18:00:00,973,Regular,Electronics,1,404.38,0.0,404.38,444.81800000000004,Debit Card,3.48
18,2023-06-01 18:00:00,231,Regular,Sports & Outdoors,1,44.91,0.1,40.42,44.462,Digital Wallet,3.96
19,2023-06-01 18:00:00,453,New,Clothing,1,20.81,0.0,20.81,22.891000000000002,Digital Wallet,4.51
20,2023-06-01 18:00:00,890,Regular,Home & Garden,1,44.44,0.0,44.44,48.884,Digital Wallet,4.31
21,2023-06-01 18:00:00,394,Regular,Electronics,1,489.48,0.1,440.53,484.583,Debit Card,4.22
22,2023-06-01 20:00:00,522,Regular,Books,1,29.39,0.0,29.39,29.39,Credit Card,3.37
23,2023-06-01 21:00:00,358,New,Home & Garden,1,115.16,0.2,92.13,92.13,Debit Card,3.85
24,2023-06-01 22:00:00,987,New,Electronics,2,741.0,0.0,741.0,1482.0,Debit Card,2.85
